model,auc_pr,brier,precision,recall
XGBoost ASOS-only (pilot subset),0.04843441321057896,0.07640368337819048,0.04329831263928685,0.5887445887445888
XGBoost ASOS+HRRR (pilot subset),0.2210458706313523,0.05598416257622999,0.06690850463522773,0.7186147186147186
"XGBoost enhanced ASOS (2018-2023, full training)",0.04706966267875097,0.15249012324640696,0.026272821730740685,0.7662337662337663
