model,auc_pr,precision,recall,brier,vs_random
Baseline rule (T-Td≤2°F + wind<5mph),0.07086001017062188,0.11720226843100189,0.2683982683982684,0.1482863138260667,1.3x
NBM (vis<1000m threshold),0.1701136451952493,0.4375,0.30303030303030304,0.058521799953369084,3.2x
"NBM (soft prob, inverse vis)",0.295854811440256,0.18283166109253066,0.70995670995671,0.12509413180428858,5.5x
"Enhanced ASOS model (6yr training, ASOS features only)",0.17366599965971571,0.12688172043010754,0.7662337662337663,0.19533550548764114,3.2x
ASOS+HRRR model (4-month training),0.3581625173751843,0.20986093552465235,0.7186147186147186,0.11124133659547944,6.7x
