model,auc_pr,brier,precision,recall,timestamp,feature_set
Baseline Rule,0.0268753330792127,0.1051473919588442,0.0356486835839172,0.7100271002710027,2026-03-01T15:33:14.559206,asos_only_with_station
Logistic Regression (ASOS only),0.0855037704635914,0.104888110308051,0.0284305669679539,0.9376693766937668,2026-03-01T15:33:14.559232,asos_only_with_station
XGBoost (ASOS only),0.0837846239238751,0.0734043404889021,0.038883777982214,0.8590785907859079,2026-03-01T15:33:14.559233,asos_only_with_station
XGBoost ASOS-only (pilot subset),0.04843441321057896,0.07640368337819048,0.04329831263928685,0.5887445887445888,2026-03-02T17:05:21.045325,asos_only_pilot_subset
XGBoost ASOS+HRRR (pilot subset),0.2210458706313523,0.05598416257622999,0.06690850463522773,0.7186147186147186,2026-03-02T17:05:21.045367,asos+hrrr_pilot
"XGBoost enhanced ASOS (2018-2023, full training)",0.04706966267875097,0.15249012324640696,0.026272821730740685,0.7662337662337663,2026-03-02T17:05:21.045369,asos_only_pilot_subset
