model,auc_pr,brier,precision,recall
Baseline Rule,0.02687533307921275,0.10514739195884425,0.035648683583917276,0.7100271002710027
Logistic Regression (ASOS only),0.08550377046359146,0.10488811030805105,0.028430566967953985,0.9376693766937669
XGBoost (ASOS only),0.08378462392387513,0.07340434048890218,0.03888377798221405,0.8590785907859079
